"row"	"position"	"week"	"transect"	"cluster"	"newCluster"
"1"	"23"	3	23	"control"	"1"	"1"
"2"	"23"	10	23	"control"	"2"	"3"
"3"	"23"	7	23	"control"	"3"	"2"
"4"	"23"	8	23	"control"	"2"	"3"
"5"	"23"	5	23	"control"	"3"	"2"
"6"	"23"	3	23	"control"	"1"	"1"
"7"	"23"	4	23	"control"	"1"	"1"
"8"	"23"	7	23	"control"	"3"	"2"
"9"	"23"	8	23	"control"	"2"	"3"
"10"	"23"	4	23	"control"	"1"	"1"
"11"	"23"	7	23	"control"	"3"	"2"
"12"	"23"	4	23	"control"	"1"	"1"
"13"	"23"	6	23	"control"	"3"	"2"
"14"	"23"	10	23	"control"	"2"	"3"
"15"	"23"	1	23	"control"	"1"	"1"
"16"	"23"	2	23	"control"	"1"	"1"
"17"	"23"	3	23	"control"	"1"	"1"
"18"	"23"	6	23	"control"	"3"	"2"
"19"	"23"	7	23	"control"	"3"	"2"
"20"	"23"	8	23	"control"	"2"	"3"
"21"	"23"	10	23	"control"	"2"	"3"
"22"	"23"	3	23	"control"	"1"	"1"
"23"	"23"	4	23	"control"	"1"	"1"
"24"	"23"	6	23	"control"	"3"	"2"
"25"	"23"	2	23	"control"	"1"	"1"
"26"	"23"	8	23	"control"	"2"	"3"
"27"	"23"	9	23	"control"	"2"	"3"
