"week"	"bugs.x"	"cluster.x"	"bugs.y"	"cluster.y"	"bugs"	"cluster"
"1"	23	8	"cl-one"	17	"cl-two"	10	"cl-three"
"2"	24	24	"cl-one"	30	"cl-two"	34	"cl-three"
"3"	25	5	"cl-one"	16	"cl-two"	9	"cl-three"
"4"	26	1	"cl-one"	10	"cl-two"	7	"cl-three"
"5"	27	1	"cl-one"	2	"cl-two"	1	"cl-three"
"6"	28	9	"cl-one"	2	"cl-two"	6	"cl-three"
"7"	29	1	"cl-one"	3	"cl-two"	6	"cl-three"
"8"	30	1	"cl-one"	5	"cl-two"	5	"cl-three"
"9"	31	0	"cl-one"	3	"cl-two"	1	"cl-three"
"10"	32	1	"cl-one"	0	"cl-two"	5	"cl-three"
"11"	34	1	"cl-one"	0	"cl-two"	2	"cl-three"
