"week"	"bugs.x"	"cluster.x"	"bugs.y"	"cluster.y"	"bugs"	"cluster"
"1"	23	9	"cl-one"	8	"cl-two"	10	"cl-three"
"2"	24	27	"cl-one"	19	"cl-two"	29	"cl-three"
"3"	25	12	"cl-one"	5	"cl-two"	3	"cl-three"
"4"	26	4	"cl-one"	3	"cl-two"	5	"cl-three"
"5"	27	2	"cl-one"	0	"cl-two"	5	"cl-three"
"6"	28	6	"cl-one"	7	"cl-two"	5	"cl-three"
"7"	29	5	"cl-one"	5	"cl-two"	6	"cl-three"
"8"	30	0	"cl-one"	6	"cl-two"	0	"cl-three"
"9"	31	4	"cl-one"	2	"cl-two"	1	"cl-three"
"10"	32	3	"cl-one"	5	"cl-two"	1	"cl-three"
"11"	34	1	"cl-one"	0	"cl-two"	0	"cl-three"
