"row"	"position"	"week"	"transect"	"cluster"	"newCluster"
"1"	"26"	1	26	"control"	"1"	"1"
"2"	"26"	4	26	"control"	"1"	"1"
"3"	"26"	6	26	"control"	"2"	"2"
"4"	"26"	4	26	"control"	"1"	"1"
"5"	"26"	8	26	"control"	"2"	"2"
"6"	"26"	5	26	"control"	"1"	"1"
"7"	"26"	8	26	"control"	"2"	"2"
"8"	"26"	9	26	"control"	"3"	"3"
"9"	"26"	7	26	"control"	"2"	"2"
"10"	"26"	8	26	"control"	"2"	"2"
"11"	"26"	4	26	"control"	"1"	"1"
"12"	"26"	7	26	"control"	"2"	"2"
"13"	"26"	10	26	"control"	"3"	"3"
"14"	"26"	5	26	"control"	"1"	"1"
"15"	"26"	9	26	"control"	"3"	"3"
