"week"	"bugs.x"	"cluster.x"	"bugs.y"	"cluster.y"	"bugs"	"cluster"
"1"	23	4	"cl-one"	4	"cl-two"	1	"cl-three"
"2"	24	16	"cl-one"	20	"cl-two"	11	"cl-three"
"3"	25	5	"cl-one"	9	"cl-two"	8	"cl-three"
"4"	26	3	"cl-one"	4	"cl-two"	4	"cl-three"
"5"	27	2	"cl-one"	1	"cl-two"	2	"cl-three"
"6"	28	7	"cl-one"	5	"cl-two"	7	"cl-three"
"7"	29	1	"cl-one"	2	"cl-two"	3	"cl-three"
"8"	30	2	"cl-one"	3	"cl-two"	2	"cl-three"
"9"	31	1	"cl-one"	1	"cl-two"	2	"cl-three"
"10"	32	1	"cl-one"	0	"cl-two"	1	"cl-three"
"11"	34	0	"cl-one"	0	"cl-two"	0	"cl-three"
