transect	time	cluster	week	mean	sd	normalMean	normalSD	distanceTenX
1	control	am	cl1	34	0	0	0	0	0
2	control	am	cl1	32	0.0740740740740741	0.266880256341812	0.111111111111111	0.240562612162344	0.163747585035439
3	control	am	cl1	31	0.111111111111111	0.320256307610174	0.166666666666667	0.288675134594813	0.220479275922049
4	control	am	cl1	30	0.111111111111111	0.320256307610174	0.166666666666667	0.288675134594813	0.220479275922049
5	control	am	cl1	29	0.148148148148148	0.362013992898246	0.222222222222222	0.32631500345752	0.275686572795545
6	control	am	cl1	28	0.0740740740740741	0.266880256341812	0.111111111111111	0.240562612162344	0.163747585035439
7	control	am	cl1	27	0	0	0	0	0
8	control	am	cl1	26	0.037037037037037	0.192450089729875	0.0555555555555556	0.173472166622178	0.103002756765218
9	control	am	cl1	25	0.185185185185185	0.39584739066357	0.277777777777778	0.356812016074031	0.330135120111242
10	control	am	cl1	24	0.333333333333333	0.554700196225229	0.5	0.5	0.559016994374947
11	control	am	cl1	23	0.166666666666667	0.383482494423685	0.25	0.345666449221858	0.303926510080006
12	control	am	cl2	34	0	0	0	0	0
13	control	am	cl2	32	0.0277777777777778	0.166666666666667	0.0416666666666667	0.150231303144333	0.0858980338670346
14	control	am	cl2	31	0.0277777777777778	0.166666666666667	0.0416666666666667	0.150231303144333	0.0858980338670346
15	control	am	cl2	30	0.0555555555555556	0.232310684145723	0.0833333333333333	0.209402020881381	0.133816090332015
16	control	am	cl2	29	0.166666666666667	0.377964473009227	0.25	0.340692571934623	0.30251918475174
17	control	am	cl2	28	0.194444444444444	0.401386485959743	0.291666666666667	0.36180488910154	0.343212964336852
18	control	am	cl2	27	0.0833333333333333	0.28232985128664	0.125	0.254488688852026	0.178370746447969
19	control	am	cl2	26	0.0833333333333333	0.280305955290694	0.125	0.252664373654628	0.177721190150672
20	control	am	cl2	25	0.111111111111111	0.398409536444798	0.166666666666667	0.35912150307139	0.244989471753056
21	control	am	cl2	24	0.305555555555556	0.524782645860956	0.458333333333333	0.473032684531334	0.515761015009059
22	control	am	cl2	23	0.125	0.337831962346088	0.1875	0.30451761568236	0.241534665348925
23	control	am	cl3	34	0.037037037037037	0.192450089729875	0.0555555555555556	0.173472166622178	0.103002756765218
24	control	am	cl3	32	0.037037037037037	0.192450089729875	0.0555555555555556	0.173472166622178	0.103002756765218
25	control	am	cl3	31	0.296296296296296	0.724027985796492	0.444444444444444	0.652630006915041	0.551373145591089
26	control	am	cl3	30	0.185185185185185	0.48334070138799	0.277777777777778	0.435677420593281	0.353007361864968
27	control	am	cl3	29	0.037037037037037	0.192450089729875	0.0555555555555556	0.173472166622178	0.103002756765218
28	control	am	cl3	28	0.0740740740740741	0.38490017945975	0.111111111111111	0.346944333244355	0.206005513530435
29	control	am	cl3	27	0.111111111111111	0.323380833381777	0.166666666666667	0.291491544065069	0.221403721385024
30	control	am	cl3	26	0.185185185185185	0.48334070138799	0.277777777777778	0.435677420593281	0.353007361864968
31	control	am	cl3	25	0.185185185185185	0.39584739066357	0.277777777777778	0.356812016074031	0.330135120111242
32	control	am	cl3	24	0.666666666666667	1.10940039245046	1	1	1.11803398874989
33	control	am	cl3	23	0.222222222222222	0.427792631946499	0.333333333333333	0.385607067437199	0.385077023107703
